Original URL,Expected Final URL,Actual Final URL,Status,Error Message
"https://parkforeststorage.thestorageadvantage.com","https://parkforeststorage.thestorageadvantage.com","https://thestorageadvantage.com/storage-units-near-me","FAIL",""
"https://radiantstorage.com","https://radiantstorage.com","https://radiantstorage.com/","PASS",""
"https://moodyroadstorage.victorystoragegroup.com","https://moodyroadstorage.victorystoragegroup.com","https://moodyroadstorage.victorystoragegroup.com/storage-units/georgia/bonaire/moody-road","FAIL",""
"https://riverfrontselfstorage.com","https://riverfrontselfstorage.com","https://www.afternic.com/forsale/riverfrontselfstorage.com?utm_source=TDFS_DASLNC&utm_medium=parkedpages&utm_campaign=x_corp_tdfs-daslnc_base&traffic_type=TDFS_DASLNC&traffic_id=daslnc&","FAIL",""
"https://redrocksstorage.com","https://redrocksstorage.com","https://redrocksstorage.com/","PASS",""
"https://rhino-storage.com","https://rhino-storage.com","https://rhino-storage.com/","PASS",""
"https://rental.securitypublicstorage.com","https://rental.securitypublicstorage.com","https://rental.securitypublicstorage.com/all-locations","FAIL",""
"https://reddoorstorage.thestorageadvantage.com","https://reddoorstorage.thestorageadvantage.com","https://thestorageadvantage.com/storage-units-near-me","FAIL",""
"https://roxboroughstorage.thestorageadvantage.com","https://roxboroughstorage.thestorageadvantage.com","https://thestorageadvantage.com/storage-units-near-me","FAIL",""
"https://safestorage.thestorageadvantage.com","https://safestorage.thestorageadvantage.com","https://thestorageadvantage.com/storage-units-rome","FAIL",""
"https://selfstorageunitsnearby.com","https://selfstorageunitsnearby.com","https://selfstorageunitsnearby.com/","PASS",""
"https://route36storage.selfstorageunitsnearby.com","https://route36storage.selfstorageunitsnearby.com","https://selfstorageunitsnearby.com/","FAIL",""
"https://selfstorage.ca","https://selfstorage.ca","https://selfstorage.ca/","PASS",""
"https://smartstorage.selfstorageunitsnearby.com","https://smartstorage.selfstorageunitsnearby.com","https://smartstorage.selfstorageunitsnearby.com/","PASS",""
"https://slatestorage.selfstorageunitsnearby.com","https://slatestorage.selfstorageunitsnearby.com","https://slatestorage.selfstorageunitsnearby.com/all-locations","FAIL",""
"https://smartstorageohio.com","https://smartstorageohio.com","https://smartstorageohio.com/","PASS",""
"https://smithfieldsafestorage.selfstorageunitsnearby.com","https://smithfieldsafestorage.selfstorageunitsnearby.com","https://selfstorageunitsnearby.com/","FAIL",""
"https://smartspace.biz","https://smartspace.biz","https://smartspace.biz/","PASS",""
"https://spotdogstorage.com","https://spotdogstorage.com","https://spotdogstorage.com/lander","FAIL",""
"https://spacesaversstorage.thestorageadvantage.com","https://spacesaversstorage.thestorageadvantage.com","https://spacesaversstorage.thestorageadvantage.com/","PASS",""
"https://storagedepot.10federalstorage.com","https://storagedepot.10federalstorage.com","https://storagedepot.10federalstorage.com/all-locations","FAIL",""
"https://southportstorage.victorystoragegroup.com","https://southportstorage.victorystoragegroup.com","https://southportstorage.victorystoragegroup.com/storage-units/georgia/brunswick/us-17","FAIL",""
"https://space-cubed.com","https://space-cubed.com","https://space-cubed.com/","PASS",""
"https://storagefirstpa.com","https://storagefirstpa.com","https://storagefirstpa.com/","PASS",""
"https://storagedepot.co","https://storagedepot.co","https://storagedepot.co/","PASS",""
"https://storagedepotla.com","https://storagedepotla.com","https://storagedepotla.com/","PASS",""
"https://storagepoint.co","https://storagepoint.co","https://storagepoint.co/","PASS",""
"https://storagesolutions.thestorageadvantage.com","https://storagesolutions.thestorageadvantage.com","https://thestorageadvantage.com/storage-units-near-me","FAIL",""
"https://thestoragelocker.com","https://thestoragelocker.com","https://thestoragelocker.com/","PASS",""
