"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","58871","Payment verification for https://test.staging.storagely-api.com/premier-storage/storage-units/mississippi/laurel/ms-15","chrome","Fri Jun 20 00:05:56 BDT 2025","passed","Fri Jun 20 00:06:55 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","0","Payment verification for https://test.staging.storagely-api.com/bestbox-storage/storage-units/florida/pensacola/north-palafox","chrome","Fri Jun 20 03:43:58 BDT 2025","skipped","Fri Jun 20 03:43:58 BDT 2025","Payment Verification Tests","payment-verification2.spec.ts","",""
"","85101","Payment verification for https://reverent-moore.staging.storagely-api.com/storage-star/storage-units/colorado/colorado-springs/aerotech-drive","chrome","Tue Jun 17 17:36:52 BDT 2025","passed","Tue Jun 17 17:38:18 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","75451","Payment verification for https://test.staging.storagely-api.com/bestbox-storage/storage-units/florida/pensacola/north-palafox","chrome","Fri Jun 20 00:03:39 BDT 2025","passed","Fri Jun 20 00:04:54 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","0","Payment verification for https://test.staging.storagely-api.com/10-federal-storage/storage-units/texas/burleson/south-burleson-blvd","chrome","Fri Jun 20 03:43:58 BDT 2025","skipped","Fri Jun 20 03:43:58 BDT 2025","Payment Verification Tests","payment-verification2.spec.ts","",""
"","7433","Verify landing page for https://distinctstorage.com/","chrome","Fri Jun 20 03:43:50 BDT 2025","passed","Fri Jun 20 03:43:58 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","69030","Payment verification for https://app.storagely.io/mini-mall-storage/storage-units/mini-mall/training/ltrain","chrome","Fri Jun 20 03:46:16 BDT 2025","passed","Fri Jun 20 03:47:25 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","71765","Payment verification for https://reverent-moore.staging.storagely-api.com/rhino-storage/storage-units/louisiana/covington/philip-drive","chrome","Tue Jun 17 17:41:01 BDT 2025","passed","Tue Jun 17 17:42:13 BDT 2025","Payment Verification Tests","rent-reservation.spec.ts","",""
"","6895","Verify landing page for https://www.firststorage.com/","chrome","Fri Jun 20 03:43:35 BDT 2025","passed","Fri Jun 20 03:43:42 BDT 2025","Storage Site Landing Page Verification","homePage-verification.spec.ts","",""
"","1","Admin Login Test","chrome","Fri Jun 20 03:43:58 BDT 2025","skipped","Fri Jun 20 03:43:58 BDT 2025","","payment-verification2.spec.ts","",""
